,ae,term_code,term,samp_id,term_llt_or_pt
0,aches,10000424,pain,347784229842726913,ache
1,pains,10033371,pain,347784229842726913,pain
2,weight gain,10047896,weight increased,340764967089356801,weight gain
3,nauseous,10028823,nausea,342119329690681344,nauseous
4,plateau,10043087,tachyphylaxis,347485185048182784,tachyphylaxis
5,brain turn to mush,10016322,feeling abnormal,349826710545498114,feeling abnormal
6,knee pain,10023477,arthralgia,343860814521962496,knee pain
7,keeping me up,10041001,insomnia,342113962495721472,sleep loss
8,pain in neck,10028836,neck pain,346484694344413185,neck pain
9,hips,10033432,arthralgia,346484694344413185,pain in hip
10,legs,10033522,pain in extremity,346484694344413185,pains in legs
11,drive me crazy,10037234,psychotic disorder,341656590757277696,psychosis
12,pains in head,10019198,headache,347165168804966400,head pain
13,back,10003988,back pain,347165168804966400,back pain
14,hip,10033432,arthralgia,347165168804966400,pain in hip
15,neck,10028836,neck pain,347165168804966400,neck pain
16,legs,10024130,pain in extremity,347165168804966400,leg pain
17,hungry,10020466,hunger,354352726815162368,hunger
18,prop my eyelids open,10041349,somnolence,354352726815162368,somnolence
19,lucidity ,10043439,bradyphrenia,349948514215800832,thinking sluggish
20,weight-gaining,10047896,weight increased,341327231508967424,weight gain
21,fatness,10047896,weight increased,341327231508967424,weight gain
22,addict,10001125,dependence,344897696080990208,addiction
23,rash,10037844,rash,344103487942057987,rash
24,skin issues,10040831,skin disorder,347542434500206592,skin disorder
25,withdrawal,10073281,withdrawal syndrome,328265863390183425,withdrawal symptom
26,look like a whale,10047896,weight increased,341254984349908994,weight gain
27,sweating,10042661,hyperhidrosis,342616686375100416,sweating
28,stomach discomfort,10013087,epigastric discomfort,342616686375100416,discomfort epigastric
29,jaw,10061257,jaw disorder,342616686375100416,jaw disorder
30,flushed,10016821,flushing,342616686375100416,flushed
31,difficult to wake up,10019158,somnolence,329254232714792961,hard to awaken
32,egg burps,10063053,eructation,349060806245240832,malodorous burping
33,kidneys have been swollen,10048469,kidney enlargement,349310462954967041,kidney enlargement
34,sick,10016365,malaise,354290144402092033,feeling sick
35,teamnosleep,10041001,insomnia,344811607156723713,sleep loss
36,painful,10033371,pain,342794515108741121,pain
37,feel like shit,10016370,malaise,348414004630274048,feeling unwell
38,asleep 24/7,10041000,hypersomnia,332761628544229376,sleep excessive
39,cravings,10056465,food craving,351665013884321793,food craving
40,pain,10033371,pain,326925921254789120,pain
41,manic,10026782,mania,329617517578444802,manic state
42,olanzapine lbs,10047896,weight increased,341257005232697344,weight gain
43,nightmares,10029414,nightmare,328158014865559552,nightmares
44,coming of it was horrific,10048010,withdrawal syndrome,328158014865559552,withdrawal syndrome
45,remembered what food is,10003028,decreased appetite,341771192279105538,appetite lost
46,tummy,10045148,abdominal pain,329515653251883008,tummy ache
47,disconnected,10012536,dissociation,329515653251883008,detachment
48,tiredness,10043890,fatigue,329515653251883008,tiredness
49,restless legs,10038742,restless legs syndrome,352903991157456896,restless legs
50,knocks me out,10041014,somnolence,330433086598823937,sleepiness
51,palpitations,10033557,palpitations,347552147954622464,palpitations
52,racing heart,10019303,heart rate increased,347552147954622464,heart rate increased
53,drowsy,10013649,somnolence,343858901227278336,drowsiness
54,sleeping,10041349,somnolence,343904497518669824,somnolence
55,craving,10056484,nicotine dependence,340259370577317890,nicotine craving
56,cant sleep,10041001,insomnia,340259370577317890,sleep loss
57,headaches,10019211,headache,351082980330045440,headache
58,vomiting,10047700,vomiting,351082980330045440,vomiting
59,diarrhea,10012727,diarrhoea,351082980330045440,diarrhea
60,awake,10022437,insomnia,351870648974446593,insomnia
61,nightmare,10029414,nightmare,351870648974446593,nightmares
62,arms just keep getting worse.,10033421,pain in extremity,349205685835272193,pain in arm
63,can't even get whipped cream out of the can,10047862,asthenia,349205685835272193,weakness
64,gain weight,10047896,weight increased,343910899507154944,weight gain
65,headache,10019211,headache,347150663286931456,headache
66,hallucinate ,10019063,hallucination,346418587210244097,hallucination
67,tired,10043890,fatigue,346474302138359808,tiredness
68,antipsychotics,10037234,psychotic disorder,348695929227993088,psychosis
69,just about dead,10041014,somnolence,332223414595117056,sleepiness
70,hurt,10033371,pain,343523993749434369,pain
71,heels,10033431,pain in extremity,343523993749434369,pain in heel
72,blew out my arms,10079024,limb injury,343523993749434369,arm injury
73,pain,10033371,pain,343523993749434369,pain
74,dehydrates,10012174,dehydration,351364309042999297,dehydration
75,suicidal,10042458,suicidal ideation,342222942853287936,suicidal ideation
76,numb,10071175,emotional poverty,342222942853287936,lack of feeling emotions
77,painful,10033371,pain,349561304526241794,pain
78,immune system went poof,10021425,immune system disorder,342072317200973825,immune system disorder
79,dreams,10000125,abnormal dreams,349468372590792704,abnormal dreams
80,irritating my nerve endings,10029181,neuralgia,328434766871412736,nerve pain
81,sweating,10042661,hyperhidrosis,340625010488143872,sweating
82,feel hot,10065015,feeling hot,340625010488143872,hot feeling generalised
83,fat,10047896,weight increased,330016889487110145,weight gain
84,overheating,10005911,body temperature increased,347488934407852032,body temperature increased
85,sleepy,10041018,somnolence,349141333614661632,sleepy
86,diarrhea,10012727,diarrhoea,340360304531734529,diarrhea
87,thoughts of suicide,10042458,suicidal ideation,340360304531734529,suicidal ideation
88,fatigue,10016256,fatigue,340360304531734529,fatigue
89,nausea,10028813,nausea,340360304531734529,nausea
90,dry mouth,10013781,dry mouth,340360304531734529,dry mouth
91,constipation,10010774,constipation,340360304531734529,constipation
92,fatique,10016256,fatigue,344117668200210433,fatigue
93,joint problems,10023211,arthropathy,344117668200210433,joint disorder
94,vomitting,10047700,vomiting,344117668200210433,vomiting
95,cramps,10011293,muscle spasms,344117668200210433,cramps
96,ab pain,10000081,abdominal pain,344117668200210433,abdominal pain
97,nausea,10028813,nausea,344117668200210433,nausea
98,skin,10040831,skin disorder,344117668200210433,skin disorder
99,ulcers in mouth,10045319,mouth ulceration,344117668200210433,ulcer mouth
100,added 1 stone,10047896,weight increased,326665428493557760,weight gain
101,slow turtle,10041052,sluggishness,332524625093328900,sluggishness
102,stacked on the weight,10047896,weight increased,333249805876883456,weight gain
103,tremors,10044565,tremor,342117282585133056,tremor
104,sweats,10042661,hyperhidrosis,342117282585133056,sweating
105,migraine,10027599,migraine,342117282585133056,migraine
106,don't want to get up,10019158,somnolence,340737923777445890,hard to awaken
107,withdrawal,10048010,withdrawal syndrome,351022442845700096,withdrawal syndrome
108,nosleep,10041017,insomnia,352345175932145664,sleeplessness
109,vertigo,10047340,vertigo,343745558382522369,vertigo
110,weight gain,10047896,weight increased,333197031659167746,weight gain
111,hot,10016334,feeling hot,343826203888717825,feeling hot
112,gain so much weight,10047896,weight increased,348383854089871360,weight gain
113,cantsleep,10041001,insomnia,342501416755163137,sleep loss
114,drip,10036402,upper-airway cough syndrome,329736817622536192,postnasal drip
115,loosing so much blood,10005645,haemorrhage,342106074838597633,blood loss of (nos)
116,not sleeping,10041017,insomnia,347639316425617408,sleeplessness
117,rls,10038741,restless legs syndrome,351168851347648513,restless leg syndrome
118,loopy,10017565,feeling abnormal,346451865283751936,fuzzy
119,crazy ish,10037234,psychotic disorder,329106631633809408,psychosis
120,hyper-sensitive,10044124,hyperaesthesia,331383865438519297,touch sensitivity increased
121,wt loss,10047900,weight decreased,352210793669996545,weight loss
122,aches,10000424,pain,346731975903694850,ache
123,weight gain,10047896,weight increased,344279713721765888,weight gain
124,rage,10037804,anger,343359399659712512,rage
125,makes me an asshole,10034719,personality change,342523133313560576,personality change
126,nap,10011865,somnolence,347388396655755264,daytime sleepiness
127,ruined my creativity,10027374,mental impairment,333358524274987008,mental impairment
128,memory,10027175,memory impairment,333358524274987008,memory impairment
129,"neck, back, hip, and leg aches",10028836,neck pain,348649853552828417,neck pain
130,"hip, and leg aches",10033432,arthralgia,348649853552828417,pain in hip
131,leg aches,10024130,pain in extremity,348649853552828417,leg pain
132,"back, hip, and leg aches",10003978,back pain,348649853552828417,back ache
133,drunk,10013767,feeling drunk,328054168260595713,drunk-like effect
134,withdrawal,10048010,withdrawal syndrome,349328587255590912,withdrawal syndrome
135,wrecking my sleep,10040995,sleep disorder,332115528632127489,sleep disturbance
136,knocked me out,10041014,somnolence,332983321187471361,sleepiness
137,didn't eat a thing,10003017,decreased appetite,341941862883545089,appetite absent
138,hurting,10033371,pain,344994590815817728,pain
139,yucky,10016370,malaise,328616992858853377,feeling unwell
140,brain zaps,10033775,paraesthesia,346349207214510080,paraesthesia
141,taste,10043132,taste disorder,353492546833498112,taste disturbance
142,addiction,10001125,dependence,349564105188851712,addiction
143,gain weight,10047896,weight increased,326398829849092097,weight gain
144,stops you from jizzing,10021574,anorgasmia,340454413229490176,inability to orgasm
145,suicidal thoughts,10042458,suicidal ideation,340454413229490176,suicidal ideation
146,sleep for 11 hours,10041000,hypersomnia,340173342889881601,sleep excessive
147,murdering my mind,10027374,mental impairment,334014050348457985,mental impairment
148,sleep less,10041001,insomnia,342360890932350976,sleep loss
